# ###################################################
# INSTITUTO GEOFÍSICO -ESCUELA POLITÉCNICA NACIONAL #
#                                                   #
#                                                    
# IG-EPN Catálogo Sísmico Instrumental del Ecuador
# Copyright (C) Instituto Geofísico - Escuela Politécnica Nacional
# Quito - Ecuador
# https://www.igepn.edu.ec/
# Fecha de generación: 22-Jan-2026
# 
# 
# Estos datos corresponden a las magnitudes de los eventos sismicos
# Los eventos son los de magnitudes 3.5 o más y registrados en Ecuador
# 
# Explicacion de los campos incluidos:
#
# event:                  código del evento al cual están asociadas las magnitudes
# orig_id:                identificador del evento sísmico al cual se asocian las magnitudes
# magnitude_value:        valor de la magnitud calculada y promediada 
# magnitude_uncertainty:  incertidumbre en el calculo de la magnitud
# magnitude_type:         tipo de magnitud
# methodID:               método para el cálculo de las magnitudes
# stationCount:           número de estaciones con la que se calculó la magnitud
# agencyID:               fuente de generación de los datos
# 
#
#event,orig_id, magnitude_value, magnitude_uncertainty, magnitude_type, methodID, stationCount, agencyID
igepn2012arvk,   2715,  4.9, 0.15,       mb,     trimmed mean(25),   16,  IG-EPN
igepn2012bhrl,   2832,  5.5, 0.18,      MLv,     trimmed mean(25),   27,  IG-EPN
igepn2012bhrl,   2832,  5.6, 0.00,      Mwp,                 mean,    1,  IG-EPN
igepn2012bhrl,   2832,  5.4, 0.40,  Mw(Mwp),                     ,    1,  IG-EPN
igepn2012bhrl,   2832,  5.5, 0.26,       mB,     trimmed mean(25),   10,  IG-EPN
igepn2012bhrl,   2832,  5.0, 0.40,   Mw(mB),                     ,   10,  IG-EPN
igepn2012bhrl,   2832,  5.6, 0.35,       mb,     trimmed mean(25),   11,  IG-EPN
igepn2012gejq,   3892,  5.0, 0.14,      MLv,     trimmed mean(25),   19,  IG-EPN
igepn2012ltdr,   5154,  5.4, 0.33,      MLv,     trimmed mean(25),   23,  IG-EPN
igepn2012mmqn,   5303,  4.0, 0.50,      MLv,                 mean,   19,  IG-EPN
igepn2012mmqn,   5303,  4.0,  NaN,        M,     weighted average,   19,  IG-EPN
igepn2012mnjl,   5309,  3.6, 0.45,      MLv,                 mean,   15,  IG-EPN
igepn2012mnjl,   5309,  3.6,  NaN,        M,     weighted average,   15,  IG-EPN
igepn2012modc,   5320,  3.9, 0.37,      MLv,                 mean,   12,  IG-EPN
igepn2012modc,   5320,  3.9,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2012modw,   5321,  5.2, 0.59,      MLv,                 mean,   29,  IG-EPN
igepn2012modw,   5321,  5.2,  NaN,        M,     weighted average,   29,  IG-EPN
igepn2012moia,   5326,  4.5, 0.41,      MLv,                 mean,   27,  IG-EPN
igepn2012moia,   5326,  4.5,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012moin,   5327,  3.7, 0.71,      MLv,                 mean,   13,  IG-EPN
igepn2012moin,   5327,  3.7,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2012mokl,   5328,  4.6, 0.35,      MLv,                 mean,   34,  IG-EPN
igepn2012mokl,   5328,  4.6,  NaN,        M,     weighted average,   34,  IG-EPN
igepn2012mqjz,   5341,  4.4, 0.37,      MLv,                 mean,   36,  IG-EPN
igepn2012mqjz,   5341,  4.4,  NaN,        M,     weighted average,   36,  IG-EPN
igepn2012mqqk,   5345,  5.0, 0.31,      MLv,                 mean,   37,  IG-EPN
igepn2012mqqk,   5345,  5.0,  NaN,        M,     weighted average,   37,  IG-EPN
igepn2012mqwn,   5349,  4.0, 0.38,      MLv,                 mean,   30,  IG-EPN
igepn2012mqwn,   5349,  4.0,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2012msdo,   5365,  3.5, 0.44,      MLv,                 mean,   12,  IG-EPN
igepn2012msdo,   5365,  3.5,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2012mtkq,   5376,  3.7, 0.30,      MLv,                 mean,   19,  IG-EPN
igepn2012mtkq,   5376,  3.7,  NaN,        M,     weighted average,   19,  IG-EPN
igepn2012myqx,   5419,  3.7, 0.62,      MLv,                 mean,   28,  IG-EPN
igepn2012myqx,   5419,  3.7,  NaN,        M,     weighted average,   28,  IG-EPN
igepn2012mzwb,   5427,  4.0, 0.41,      MLv,                 mean,   32,  IG-EPN
igepn2012mzwb,   5427,  4.0,  NaN,        M,     weighted average,   32,  IG-EPN
igepn2012nggr,   5481,  3.6, 0.32,      MLv,                 mean,   27,  IG-EPN
igepn2012nggr,   5481,  3.6,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012nmdm,   5531,  4.5, 0.36,      MLv,                 mean,   38,  IG-EPN
igepn2012nmdm,   5531,  4.5,  NaN,        M,     weighted average,   38,  IG-EPN
igepn2012nnlm,   5543,  4.2, 0.35,      MLv,                 mean,   34,  IG-EPN
igepn2012nnlm,   5543,  4.2,  NaN,        M,     weighted average,   34,  IG-EPN
igepn2012nnyv,   5554,  4.7, 0.14,       mb,         trimmed mean,   12,  IG-EPN
igepn2012nnyv,   5554,  5.3, 0.08,       mB,         trimmed mean,   12,  IG-EPN
igepn2012nnyv,   5554,  4.8, 0.40,   Mw(mB),                     ,   12,  IG-EPN
igepn2012nnyv,   5554,  5.0, 0.00,      MLv,                 mean,    1,  IG-EPN
igepn2012nnyv,   5554,  4.8,  NaN,        M,     weighted average,   12,  IG-EPN
igepn2012nuqe,   5612,  4.0, 0.72,      MLv,                 mean,   47,  IG-EPN
igepn2012nuqe,   5612,  4.0,  NaN,        M,     weighted average,   47,  IG-EPN
igepn2012nzre,   5654,  3.5, 0.34,      MLv,                 mean,   21,  IG-EPN
igepn2012nzre,   5654,  3.5,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012obtu,   5673,  3.9, 0.52,      MLv,                 mean,   25,  IG-EPN
igepn2012obtu,   5673,  3.9,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2012oesk,   5704,  3.7, 0.44,      MLv,                 mean,   21,  IG-EPN
igepn2012oesk,   5704,  3.7,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012ohaa,   5724,  3.6, 0.29,      MLv,                 mean,   25,  IG-EPN
igepn2012ohaa,   5724,  3.6,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2012ohkt,   5726,  3.8, 0.63,      MLv,                 mean,   30,  IG-EPN
igepn2012ohkt,   5726,  3.8,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2012okrf,   5752,  4.0, 0.69,      MLv,                 mean,   29,  IG-EPN
igepn2012okrf,   5752,  4.0,  NaN,        M,     weighted average,   29,  IG-EPN
igepn2012olst,   5761,  3.8, 0.35,      MLv,                 mean,   13,  IG-EPN
igepn2012olst,   5761,  3.8,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2012ontc,   5773,  4.3, 0.72,      MLv,                 mean,   22,  IG-EPN
igepn2012ontc,   5773,  4.3,  NaN,        M,     weighted average,   22,  IG-EPN
